Index,PlayerName,Nation,position,Squad,Competition,Age,BirthYear,Full 90s Played,Goals Scored,Total Shots,Shots on Target,Shots on Target%,Shots Per90,Shots on Target P90,Goals Per Shot,G/SOT,Average shot Distance,Shots from free kicks,Penalties created,Penalties attempted,xG,npxg,npxG/Sh,G-xG,npG-npxG
318,Hugo Bueno,ESP,"DF,MF",Wolves,Premier League,21-089,2002,4.0,0,4,0,0.0,0.99,0.00,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
319,Santiago Bueno,URU,DF,Wolves,Premier League,25-037,1998,1.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
320,Marius Bülter,GER,"DF,FW",Hoffenheim,Bundesliga,30-262,1993,7.2,1,15,4,26.7,2.08,0.56,0.07,0.25,18.2,0,0,0,1.0,1.0,0.07,0.0,0.0
321,Facundo Buonanotte,ARG,"FW,MF",Brighton,Premier League,18-358,2004,3.3,1,5,2,40.0,1.52,0.61,0.20,0.50,18.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
322,Alessandro Buongiorno,ITA,DF,Torino,Serie A,24-193,1999,11.3,2,7,4,57.1,0.62,0.35,0.29,0.50,8.4,0,0,0,1.0,1.0,0.14,+1.0,+1.0
323,Jonathan Burkardt,GER,"MF,FW",Mainz 05,Bundesliga,23-158,2000,1.1,0,1,0,0.0,0.87,0.00,0.00,0.00,12.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2
324,Oliver Burke,SCO,FW,Werder Bremen,Bundesliga,26-253,1997,0.4,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
325,Reece Burke,ENG,DF,Luton Town,Premier League,27-105,1996,6.6,0,5,1,20.0,0.76,0.15,0.00,0.00,9.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4
326,Dan Burn,ENG,DF,Newcastle Utd,Premier League,31-221,1992,10.5,1,8,3,37.5,0.76,0.29,0.13,0.33,9.1,0,0,0,1.0,1.0,0.12,0.0,0.0
327,Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,19-319,2004,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
328,Mason Burstow,ENG,FW,Chelsea,Premier League,20-134,2003,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
329,Marnon Busch,GER,DF,Heidenheim,Bundesliga,29-008,1994,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
330,Maxime Busi,BEL,"FW,DF",Reims,Ligue 1,24-063,1999,1.3,0,1,0,0.0,0.76,0.00,0.00,0.00,16.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
331,Aurélio Buta,POR,DF,Eint Frankfurt,Bundesliga,26-309,1997,9.4,0,5,2,40.0,0.53,0.21,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
