Index,PlayerName,Nation,position,Squad,Competition,Age,BirthYear,Full 90s Played,Goals Scored,Total Shots,Shots on Target,Shots on Target%,Shots Per90,Shots on Target P90,Goals Per Shot,G/SOT,Average shot Distance,Shots from free kicks,Penalties created,Penalties attempted,xG,npxg,npxG/Sh,G-xG,npG-npxG
385,Fabio Carvalho,POR,MF,RB Leipzig,Bundesliga,21-108,2002,1.7,0,2,2,100.0,1.20,1.20,0.00,0.00,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
386,William Carvalho,POR,MF,Betis,La Liga,31-253,1992,2.2,0,1,0,0.0,0.45,0.00,0.00,0.00,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0
387,Nicolò Casale,ITA,DF,Lazio,Serie A,25-305,1998,7.0,0,3,1,33.3,0.43,0.14,0.00,0.00,17.4,0,0,0,0.6,0.6,0.19,-0.6,-0.6
388,Casemiro,BRA,MF,Manchester Utd,Premier League,31-296,1992,7.2,1,15,4,26.7,2.08,0.56,0.07,0.25,14.1,0,0,0,1.8,1.8,0.12,-0.8,-0.8
389,Matty Cash,POL,"DF,MF",Aston Villa,Premier League,26-131,1997,12.3,2,21,10,47.6,1.70,0.81,0.10,0.20,14.8,0,0,0,3.3,3.3,0.16,-1.3,-1.3
390,Josué Casimir,FRA,"DF,MF",Le Havre,Ligue 1,22-083,2001,10.1,0,8,0,0.0,0.79,0.00,0.00,0.00,17.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
391,Giuseppe Caso,ITA,"FW,MF",Frosinone,Serie A,25-007,1998,3.7,0,6,3,50.0,1.63,0.81,0.00,0.00,18.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
392,Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,23-330,2000,9.9,0,6,1,16.7,0.61,0.10,0.00,0.00,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
393,Timothy Castagne,BEL,DF,Fulham,Premier League,28-011,1995,11.4,0,4,1,25.0,0.35,0.09,0.00,0.00,16.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
394,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,31-174,1992,11.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
395,Valentín Castellanos,ARG,FW,Lazio,Serie A,25-074,1998,5.5,1,23,6,26.1,4.19,1.09,0.04,0.17,13.4,1,0,0,2.9,2.9,0.13,-1.9,-1.9
396,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,28-324,1995,13.0,1,3,2,66.7,0.23,0.15,0.33,0.50,16.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9
397,Samu Castillejo,ESP,"FW,MF",Sassuolo,Serie A,28-332,1995,3.9,0,6,2,33.3,1.56,0.52,0.00,0.00,16.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
398,Jonny Castro,ESP,MF,Wolves,Premier League,29-288,1994,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
399,Danilo Cataldi,ITA,MF,Lazio,Serie A,29-132,1994,7.2,0,4,1,25.0,0.56,0.14,0.00,0.00,29.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
400,Catena,ESP,DF,Osasuna,La Liga,29-049,1994,13.9,1,6,3,50.0,0.43,0.22,0.17,0.33,9.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5
401,Maximiliano Caufriez,BEL,DF,Clermont Foot,Ligue 1,26-303,1997,8.9,0,2,0,0.0,0.22,0.00,0.00,0.00,12.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
402,Ivan Cavaleiro,POR,FW,Lille,Ligue 1,30-059,1993,8.1,1,11,3,27.3,1.35,0.37,0.09,0.33,13.4,0,0,0,1.3,1.3,0.12,-0.3,-0.3
403,Dani Ceballos,ESP,"MF,FW",Real Madrid,La Liga,27-131,1996,1.5,0,1,0,0.0,0.68,0.00,0.00,0.00,15.4,0,0,0,0.0,0.0,0.03,0.0,0.0
404,Emil Ceide,NOR,"MF,FW",Sassuolo,Serie A,22-104,2001,1.1,0,1,0,0.0,0.89,0.00,0.00,0.00,11.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1
405,Zeki Çelik,TUR,"DF,MF",Roma,Serie A,26-302,1997,1.2,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
406,Álex Centelles,ESP,DF,Almería,La Liga,26-038,1997,2.5,0,1,0,0.0,0.40,0.00,0.00,0.00,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
407,Václav Černý,CZE,"FW,MF",Wolfsburg,Bundesliga,26-060,1997,6.0,1,12,2,16.7,2.01,0.33,0.08,0.50,16.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1
408,Michele Cerofolini,ITA,GK,Frosinone,Serie A,24-346,1999,1.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
409,Franco Cervi,ARG,"DF,MF",Celta Vigo,La Liga,29-204,1994,2.2,0,1,0,0.0,0.46,0.00,0.00,0.00,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
410,Julio César Enciso,PAR,MF,Brighton,Premier League,19-327,2004,0.8,0,4,1,25.0,5.22,1.30,0.00,0.00,22.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
411,Julian Chabot,GER,DF,Köln,Bundesliga,25-307,1998,12.7,0,8,1,12.5,0.63,0.08,0.00,0.00,8.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8
412,Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,21-018,2002,0.6,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
413,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,Bundesliga,21-018,2002,8.5,1,14,6,42.9,1.64,0.70,0.07,0.17,18.0,1,0,0,1.0,1.0,0.07,0.0,0.0
414,Muhammed Cham,AUT,"MF,FW",Clermont Foot,Ligue 1,23-081,2000,13.7,2,34,13,38.2,2.48,0.95,0.06,0.15,20.9,5,0,1,3.5,2.7,0.08,-1.5,-0.7
415,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,28-359,1994,14.0,0,7,2,28.6,0.50,0.14,0.00,0.00,12.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5
416,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,La Liga,25-250,1998,1.2,0,1,0,0.0,0.80,0.00,0.00,0.00,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0
417,Walid Cheddira,MAR,FW,Frosinone,Serie A,25-328,1998,8.3,1,14,3,21.4,1.69,0.36,0.00,0.00,12.7,0,1,1,2.8,2.0,0.14,-1.8,-2.0
418,Rayan Cherki,FRA,"MF,FW",Lyon,Ligue 1,20-121,2003,10.9,0,25,9,36.0,2.28,0.82,0.00,0.00,16.9,0,0,0,1.7,1.7,0.07,-1.7,-1.7
419,Youssef Chermiti,POR,FW,Everton,Premier League,19-206,2004,0.6,0,3,0,0.0,5.19,0.00,0.00,0.00,14.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
420,Lucas Chevalier,FRA,GK,Lille,Ligue 1,22-040,2001,15.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
421,Fabio Chiarodia,ITA,"DF,MF",M'Gladbach,Bundesliga,18-194,2005,0.7,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
422,Federico Chiesa,ITA,FW,Juventus,Serie A,26-052,1997,12.2,5,34,12,35.3,2.79,0.98,0.12,0.33,19.1,3,1,1,4.1,3.3,0.10,+0.9,+0.7
423,Ben Chilwell,ENG,"DF,MF",Chelsea,Premier League,26-360,1996,3.7,0,7,2,28.6,1.87,0.54,0.00,0.00,14.5,1,0,0,1.0,1.0,0.14,-1.0,-1.0
424,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,26-207,1997,13.9,1,10,4,40.0,0.72,0.29,0.10,0.25,22.2,0,0,0,0.9,0.9,0.09,+0.1,+0.1
425,Tahith Chong,NED,MF,Luton Town,Premier League,24-012,1999,7.6,1,11,3,27.3,1.44,0.39,0.09,0.33,17.5,0,0,0,0.9,0.9,0.08,+0.1,+0.1
426,Joris Chotard,FRA,MF,Montpellier,Ligue 1,22-083,2001,13.6,0,9,3,33.3,0.66,0.22,0.00,0.00,31.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
427,Andreas Christensen,DEN,DF,Barcelona,La Liga,27-250,1996,10.7,0,3,0,0.0,0.28,0.00,0.00,0.00,8.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4
428,Oliver Christensen,DEN,GK,Fiorentina,Serie A,24-269,1999,2.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
429,Ryan Christie,SCO,MF,Bournemouth,Premier League,28-297,1995,13.7,0,15,9,60.0,1.09,0.66,0.00,0.00,18.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
430,Carney Chukwuemeka,ENG,MF,Chelsea,Premier League,20-057,2003,1.4,1,1,1,100.0,0.72,0.72,1.00,1.00,12.3,0,0,0,0.1,0.1,0.11,+0.9,+0.9
431,Samuel Chukwueze,NGA,FW,Milan,Serie A,24-208,1999,5.6,0,13,2,15.4,2.33,0.36,0.00,0.00,17.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
432,Víctor Chust,ESP,DF,Cádiz,La Liga,23-286,2000,2.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
433,Pathé Ciss,SEN,MF,Rayo Vallecano,La Liga,29-275,1994,9.9,1,17,6,35.3,1.72,0.61,0.06,0.17,20.0,0,0,0,1.3,1.3,0.08,-0.3,-0.3
434,Ibrahim Cissoko,NED,"FW,MF",Toulouse,Ligue 1,20-265,2003,1.4,0,5,2,40.0,3.60,1.44,0.00,0.00,19.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
435,Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,28-310,1995,11.9,0,20,7,35.0,1.68,0.59,0.00,0.00,21.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1
436,Jordan Clark,ENG,"MF,DF",Luton Town,Premier League,30-085,1993,0.9,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
437,Alexis Claude-Maurice,FRA,MF,Nice,Ligue 1,25-193,1998,0.9,0,2,0,0.0,2.20,0.00,0.00,0.00,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
438,Jonathan Clauss,FRA,DF,Marseille,Ligue 1,31-082,1992,12.9,1,15,3,20.0,1.16,0.23,0.07,0.33,23.4,2,0,0,0.8,0.8,0.05,+0.2,+0.2
439,Silvi Clúa,ESP,MF,Girona,La Liga,18-321,2005,0.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
440,Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,32-255,1991,3.2,0,1,0,0.0,0.32,0.00,0.00,0.00,17.8,0,0,0,0.0,0.0,0.03,0.0,0.0
441,Marcus Coco,FRA,DF,Nantes,Ligue 1,27-175,1996,8.2,1,5,2,40.0,0.61,0.24,0.20,0.50,19.7,0,0,0,0.4,0.4,0.08,+0.6,+0.6
442,Saúl Coco,EQG,DF,Las Palmas,La Liga,24-310,1999,10.4,1,11,4,36.4,1.05,0.38,0.09,0.25,26.0,4,0,0,0.7,0.7,0.06,+0.3,+0.3
443,Séamus Coleman,IRL,DF,Everton,Premier League,35-066,1988,0.7,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
444,Maxime Colin,FRA,DF,Metz,Ligue 1,32-031,1991,7.1,0,2,0,0.0,0.28,0.00,0.00,0.00,19.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
445,Nathan Collins,IRL,DF,Brentford,Premier League,22-230,2001,11.1,1,5,1,20.0,0.45,0.09,0.20,1.00,7.6,0,0,0,0.6,0.6,0.12,+0.4,+0.4
446,Lorenzo Colombo,ITA,FW,Monza,Serie A,21-283,2002,10.1,3,28,8,28.6,2.77,0.79,0.11,0.38,17.1,0,0,0,2.8,2.8,0.10,+0.2,+0.2
447,Andrea Colpani,ITA,"MF,FW",Monza,Serie A,24-219,1999,12.4,6,29,11,37.9,2.34,0.89,0.21,0.55,20.6,4,0,0,2.2,2.2,0.08,+3.8,+3.8
448,Levi Colwill,ENG,DF,Chelsea,Premier League,20-293,2003,13.3,1,10,3,30.0,0.75,0.23,0.10,0.33,11.2,0,0,0,1.2,1.2,0.13,-0.2,-0.2
449,Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,27-186,1996,9.3,3,26,6,23.1,2.80,0.65,0.12,0.50,16.8,0,0,0,2.4,2.4,0.09,+0.6,+0.6
450,Eray Cömert,SUI,DF,Nantes,Ligue 1,25-315,1998,11.3,1,5,2,40.0,0.44,0.18,0.20,0.50,15.0,0,0,0,0.3,0.3,0.06,+0.7,+0.7
451,Santi Comesaña,ESP,MF,Villarreal,La Liga,27-072,1996,4.3,0,4,1,25.0,0.92,0.23,0.00,0.00,16.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
452,Pietro Comuzzo,ITA,"DF,FW",Fiorentina,Serie A,18-299,2005,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
453,Andrea Consigli,ITA,GK,Sassuolo,Serie A,36-323,1987,13.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
454,Bambasé Conté,GER,"FW,MF",Hoffenheim,Bundesliga,20-162,2003,0.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
455,Lewis Cook,ENG,MF,Bournemouth,Premier League,26-316,1997,10.8,0,2,1,50.0,0.19,0.09,0.00,0.00,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
456,Copete,ESP,DF,Mallorca,La Liga,24-067,1999,5.9,0,2,0,0.0,0.34,0.00,0.00,0.00,23.0,0,0,0,0.0,0.0,0.01,0.0,0.0
457,Diego Coppola,ITA,DF,Hellas Verona,Serie A,19-353,2003,5.1,0,2,0,0.0,0.39,0.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
458,Francis Coquelin,FRA,MF,Villarreal,La Liga,32-217,1991,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
459,Tommaso Corazza,ITA,DF,Bologna,Serie A,19-170,2004,1.6,0,1,0,0.0,0.61,0.00,0.00,0.00,12.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1
460,Jeppe Corfitzen,DEN,FW,Lecce,Serie A,18-352,2004,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
461,Jack Cork,ENG,MF,Burnley,Premier League,34-174,1989,0.2,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
462,Maxwel Cornet,CIV,MF,West Ham,Premier League,27-080,1996,0.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
463,Jesús Corona,MEX,"MF,DF",Sevilla,La Liga,30-344,1993,0.2,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
464,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28-282,1995,5.2,4,14,7,50.0,2.72,1.36,0.29,0.57,14.7,1,0,0,3.0,3.0,0.22,+1.0,+1.0
465,Joaquín Correa,ARG,"FW,MF",Marseille,Ligue 1,29-125,1994,3.8,0,3,2,66.7,0.79,0.53,0.00,0.00,17.3,0,0,0,0.5,0.5,0.18,-0.5,-0.5
466,Thierry Correia,POR,DF,Valencia,La Liga,24-282,1999,13.3,0,3,2,66.7,0.23,0.15,0.00,0.00,17.6,0,0,0,0.6,0.6,0.20,-0.6,-0.6
467,Oscar Cortés,COL,"FW,MF",Lens,Ligue 1,20-013,2003,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
468,Danny da Costa,GER,DF,Mainz 05,Bundesliga,30-156,1993,7.2,0,6,1,16.7,0.84,0.14,0.00,0.00,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
469,David Pereira da Costa,POR,MF,Lens,Ligue 1,22-345,2001,2.0,0,2,1,50.0,1.01,0.51,0.00,0.00,21.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
470,Jaume Costa,ESP,DF,Mallorca,La Liga,35-273,1988,8.7,0,2,0,0.0,0.23,0.00,0.00,0.00,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
471,Logan Costa,CPV,DF,Toulouse,Ligue 1,22-259,2001,14.1,0,7,3,42.9,0.50,0.21,0.00,0.00,15.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5
472,Samu Costa,POR,MF,Mallorca,La Liga,23-019,2000,13.6,1,10,2,20.0,0.73,0.15,0.10,0.50,20.6,1,0,0,0.7,0.7,0.07,+0.3,+0.3
473,Benoît Costil,FRA,GK,Salernitana,Serie A,36-166,1987,4.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
474,Vladimír Coufal,CZE,DF,West Ham,Premier League,31-116,1992,16.0,0,1,0,0.0,0.06,0.00,0.00,0.00,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0
475,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,27-250,1996,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
476,Mamadou Coulibaly,SEN,DF,Salernitana,Serie A,24-316,1999,0.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
477,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,31-187,1992,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
478,Yan Couto,BRA,"DF,MF",Girona,La Liga,21-196,2002,9.5,1,13,3,23.1,1.37,0.32,0.08,0.33,21.8,0,0,0,0.7,0.7,0.05,+0.3,+0.3
479,Nicolas Cozza,FRA,DF,Wolfsburg,Bundesliga,24-342,1999,2.4,0,1,0,0.0,0.42,0.00,0.00,0.00,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0
480,Alessio Cragno,ITA,GK,Sassuolo,Serie A,29-171,1994,2.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
481,Aaron Cresswell,ENG,DF,West Ham,Premier League,34-001,1989,1.4,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
482,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,28-288,1995,15.0,2,21,3,14.3,1.40,0.20,0.10,0.67,15.5,0,0,0,1.9,1.9,0.09,+0.1,+0.1
483,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,31-141,1992,10.1,0,1,0,0.0,0.10,0.00,0.00,0.00,27.5,0,0,0,0.0,0.0,0.02,0.0,0.0
484,Juan Cruz,ARG,"FW,MF",Hellas Verona,Serie A,24-150,1999,0.9,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
485,Juan Cruz,ESP,FW,Betis,La Liga,23-235,2000,0.8,0,2,0,0.0,2.61,0.00,0.00,0.00,21.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
486,Juan Cuadrado,COL,DF,Inter,Serie A,35-204,1988,1.7,0,4,0,0.0,2.31,0.00,0.00,0.00,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
487,Marc Cucurella,ESP,DF,Chelsea,Premier League,25-147,1998,7.8,0,4,3,75.0,0.51,0.38,0.00,0.00,14.7,0,0,0,0.8,0.8,0.20,-0.8,-0.8
488,Jorge Cuenca,ESP,DF,Villarreal,La Liga,24-029,1999,9.1,1,8,2,25.0,0.88,0.22,0.13,0.50,11.7,0,0,0,0.4,0.4,0.05,+0.6,+0.6
489,Josh Cullen,IRL,MF,Burnley,Premier League,27-253,1996,9.4,0,3,0,0.0,0.32,0.00,0.00,0.00,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
490,Matheus Cunha,BRA,FW,Wolves,Premier League,24-203,1999,14.8,5,36,20,55.6,2.44,1.36,0.14,0.25,18.1,0,0,0,4.7,4.7,0.13,+0.3,+0.3
491,Marvin Cuni,ALB,FW,Frosinone,Serie A,22-159,2001,5.1,1,9,2,22.2,1.77,0.39,0.11,0.50,12.6,0,0,0,1.3,1.3,0.14,-0.3,-0.3
492,Eric Curbelo,ESP,DF,Las Palmas,La Liga,29-336,1994,1.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
493,Tomáš Čvančara,CZE,FW,M'Gladbach,Bundesliga,23-125,2000,7.0,4,19,8,42.1,2.73,1.15,0.16,0.38,15.4,1,1,2,4.6,3.0,0.16,-0.6,0.0
494,Danilo D'Ambrosio,ITA,DF,Monza,Serie A,35-098,1988,8.1,0,7,2,28.6,0.86,0.25,0.00,0.00,12.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
495,Finn Dahmen,GER,GK,Augsburg,Bundesliga,25-264,1998,14.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
496,Mahmoud Dahoud,GER,MF,Brighton,Premier League,27-349,1996,5.0,0,6,1,16.7,1.19,0.20,0.00,0.00,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
497,Ameen Al-Dakhil,BEL,DF,Burnley,Premier League,21-285,2002,9.5,0,5,1,20.0,0.53,0.11,0.00,0.00,17.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
498,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,23-135,2000,10.0,5,27,13,48.1,2.69,1.30,0.19,0.38,14.3,0,0,2,6.2,4.6,0.17,-1.2,+0.4
499,Diogo Dalot,POR,DF,Manchester Utd,Premier League,24-273,1999,14.3,1,11,2,18.2,0.77,0.14,0.09,0.50,19.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4
500,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,23-166,2000,1.1,0,1,1,100.0,0.88,0.88,0.00,0.00,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
501,Flavius Daniliuc,AUT,DF,Salernitana,Serie A,22-233,2001,5.4,0,1,0,0.0,0.18,0.00,0.00,0.00,22.4,0,0,0,0.0,0.0,0.04,0.0,0.0
502,Danilo,BRA,"MF,FW",Nott'ham Forest,Premier League,22-231,2001,5.4,0,5,1,20.0,0.93,0.19,0.00,0.00,20.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
503,Danilo,BRA,DF,Juventus,Serie A,32-154,1991,10.2,1,7,1,14.3,0.68,0.10,0.14,1.00,15.6,0,0,0,0.6,0.6,0.09,+0.4,+0.4
504,Arnaut Danjuma,NED,"MF,FW",Everton,Premier League,26-319,1997,4.3,1,16,6,37.5,3.68,1.38,0.06,0.17,16.6,1,0,0,1.8,1.8,0.12,-0.8,-0.8
505,Kevin Danso,AUT,DF,Lens,Ligue 1,25-088,1998,14.0,0,7,2,28.6,0.50,0.14,0.00,0.00,12.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9
506,Dante,BRA,DF,Nice,Ligue 1,40-059,1983,15.0,0,5,2,40.0,0.33,0.13,0.00,0.00,13.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3
507,Mohammed Daramy,DEN,"FW,MF",Reims,Ligue 1,21-343,2002,9.7,2,11,5,45.5,1.14,0.52,0.18,0.40,12.3,0,0,0,1.9,1.9,0.18,+0.1,+0.1
508,Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,29-359,1993,11.4,0,9,2,22.2,0.79,0.18,0.00,0.00,23.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
509,Achraf Dari,MAR,"DF,FW",Brest,Ligue 1,24-224,1999,1.3,0,1,1,100.0,0.74,0.74,0.00,0.00,14.4,0,0,0,0.0,0.0,0.05,0.0,0.0
510,Matteo Darmian,ITA,DF,Inter,Serie A,34-014,1989,12.1,0,3,0,0.0,0.25,0.00,0.00,0.00,18.7,0,0,0,0.3,0.3,0.10,-0.3,-0.3
511,Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,25-076,1998,3.4,1,11,4,36.4,3.28,1.19,0.09,0.25,16.2,0,0,0,2.2,2.2,0.20,-1.2,-1.2
512,Josh Dasilva,ENG,MF,Brentford,Premier League,25-054,1998,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
513,David Datro Fofana,CIV,"FW,MF",Union Berlin,Bundesliga,20-359,2002,7.1,0,24,10,41.7,3.39,1.41,0.00,0.00,15.9,4,0,0,2.4,2.4,0.10,-2.4,-2.4
514,Jonathan David,CAN,FW,Lille,Ligue 1,23-336,2000,12.7,4,30,16,53.3,2.35,1.26,0.10,0.19,14.7,0,1,1,5.4,4.7,0.16,-1.4,-1.7
515,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,23-044,2000,10.1,0,5,1,20.0,0.49,0.10,0.00,0.00,20.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
516,Ben Davies,WAL,DF,Tottenham,Premier League,30-236,1993,7.0,0,7,0,0.0,1.00,0.00,0.00,0.00,14.0,0,0,0,1.1,1.1,0.15,-1.1,-1.1
517,Tom Davies,ENG,MF,Sheffield Utd,Premier League,25-169,1998,0.7,0,2,0,0.0,3.00,0.00,0.00,0.00,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
518,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,28-210,1995,8.8,0,2,1,50.0,0.23,0.11,0.00,0.00,7.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
519,Craig Dawson,ENG,DF,Wolves,Premier League,33-224,1990,14.8,0,9,3,33.3,0.61,0.20,0.00,0.00,12.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8
520,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,32-171,1991,0.2,0,1,0,0.0,4.09,0.00,0.00,0.00,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0
521,Charles De Ketelaere,BEL,FW,Atalanta,Serie A,22-281,2001,8.8,1,20,7,35.0,2.28,0.80,0.05,0.14,12.0,0,0,0,2.9,2.9,0.14,-1.9,-1.9
522,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,29-206,1994,8.1,0,14,5,35.7,1.73,0.62,0.00,0.00,19.8,1,0,0,1.0,1.0,0.07,-1.0,-1.0
523,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,35-207,1988,4.9,1,2,1,50.0,0.41,0.21,0.50,1.00,19.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9
524,Thibault De Smet,BEL,"DF,FW",Reims,Ligue 1,25-194,1998,10.6,0,2,0,0.0,0.19,0.00,0.00,0.00,14.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2
